year,w_kid,w_nokid,m_kid,m_nokid,n,pen_w,pen_m
2004,65.84106202475334,74.31355942930062,94.20027169214784,89.06259496445963,23452,-8.472497404547283,5.137676727688202
2005,64.59584504579584,74.96763061980592,94.58133540109174,88.61595955917028,23217,-10.371785574010076,5.965375841921457
2006,67.4149757832044,75.22717251292873,94.72009637413557,90.32331903983031,24220,-7.812196729724334,4.396777334305256
2007,69.77066540611952,77.65279278010618,95.64909920122402,91.8026060892031,26084,-7.882127373986663,3.846493112020923
2008,67.9596272998796,76.51565235538827,94.88503821117868,91.14868558486033,25090,-8.55602505550867,3.73635262631835
2009,70.2925350601552,76.89595762234104,95.00945146690204,90.86393833532608,25054,-6.603422562185841,4.145513131575953
2010,69.36329270256395,79.50390005100013,95.0530241637231,90.80732225958961,24195,-10.140607348436177,4.245701904133483
2011,70.65701689279682,78.0456973898833,95.43355702167297,90.80587185979594,26951,-7.388680497086483,4.627685161877025
2012,69.8412469378094,79.02112902290736,95.91047088626202,91.0164374923464,26508,-9.179882085097958,4.89403339391562
2013,69.39338133794611,77.69993857450419,95.66321413792289,90.98999025483985,31428,-8.306557236558078,4.67322388308304
2014,67.63196215063991,77.84711398494535,95.46956205734233,90.51603687261589,30960,-10.215151834305445,4.953525184726445
2015,66.2588654027433,77.77042068399182,95.37864296306259,89.87803293189496,32519,-11.51155528124852,5.500610031167625
2016,66.55324162292168,78.44574903496108,95.46243851005858,90.69075501010732,35669,-11.892507412039407,4.771683499951251
2017,67.43973413461255,77.95316519578324,95.46828790383621,90.36452899587887,33509,-10.513431061170692,5.103758907957342
2018,67.78457863183273,79.12402486142584,95.80040182315769,89.5369682805706,35176,-11.339446229593108,6.26343354258708
2019,66.4735262495326,78.03120265955856,94.96450951468863,89.44087168204234,32445,-11.557676410025962,5.523637832646287
2020,54.36987750869138,63.51100263311401,86.23631196913074,78.51217930537706,32301,-9.14112512442263,7.724132663753679
2021,63.99389682180399,73.2113016138679,93.50130770806884,88.10971874308623,31053,-9.21740479206391,5.391588964982603
2022,65.61234441986551,75.87738068338707,94.08784420633462,90.03495260965519,31305,-10.265036263521566,4.05289159667943
2023,64.97308590774513,74.34620596490414,94.16908026887012,87.89490514023653,30925,-9.373120057159014,6.274175128633587
2024,63.58051467919813,75.08562863015833,94.61660296529985,88.42844255277127,29846,-11.505113950960194,6.188160412528575
2025,63.70743625975462,76.87660481874656,94.43255806065257,88.01542957049945,28602,-13.169168558991935,6.417128490153118
