year,share,pov_ind,pov_non,inc_ind,inc_non,inc_ratio
2004,18.39468122854484,76.26287015615493,52.957287409656495,2372.0510443385706,4694.8933070313915,0.5052406709191933
2005,17.774716483634244,75.02343092634418,50.05393103832249,2337.9920320602428,4801.683914548265,0.4869108574549304
2006,18.289638560879286,68.47409783920295,43.27196687413571,2794.6059181613214,5438.293689428088,0.5138755053986819
2007,17.877650689752645,64.2261398067062,36.23401130080564,3041.869906662632,6268.2029143439995,0.48528580651109626
2008,17.410248999966267,59.655038182137766,31.385315953918987,3483.897656123507,6691.960098715501,0.520609448462227
2009,17.336615765060934,53.339819029703605,28.27415048638781,3927.51344898607,7253.388723502649,0.5414729030391027
2010,17.15983247105877,49.36148850396104,25.961924307205457,4322.174986505837,7541.157202214477,0.5731447933795387
2011,17.388246115062923,44.068604451963154,23.48799866367409,4717.070615325607,8004.402035026449,0.5893095567519204
2012,17.292906703103743,40.13852609126364,22.079416322839148,5165.119459784794,8739.853880792421,0.5909846469099648
2013,16.97095231364621,35.73931808046723,20.78588690770106,5637.319406444665,9001.622208700968,0.6262559431782898
2014,17.073599394623308,35.325936994269554,19.421901384295285,5791.13319130561,9410.784583105098,0.6153719852117601
2015,17.071111471423773,33.25283606868112,18.724376065696468,6062.40414773664,9805.257161436435,0.6182809943608373
2016,17.172580930516478,32.54658650922234,17.741480689985142,6515.227149025872,10439.918588443144,0.6240687696777774
2017,17.422527233743285,32.92426248674042,18.586691875977234,6322.01040141756,10703.556961501818,0.5906457474049372
2018,17.127070830082754,32.269171124817696,17.444492214821754,6920.914722002995,10970.67687284195,0.6308557623400437
2019,16.71462050104438,30.460320846110978,17.52134745382115,7219.565202482727,11318.835590944285,0.6378363873629185
2020,16.773265101882227,37.72440262332876,27.751829297556174,6426.295389664083,9087.11857691695,0.7071873592568853
2021,16.505170837627606,31.44115181610534,23.905534013044054,7601.719138303945,10715.359304405054,0.7094227008495086
2022,16.23762081525241,32.76043788024132,25.543217923906987,8393.588281094644,11767.024291987445,0.7133144347131258
2023,16.243479896365063,34.2694104956482,27.057300783441324,8844.689673525716,12384.182066638034,0.7141924776245483
2024,15.7019067813738,31.211765893297365,25.975224373260463,9107.947545739407,12867.304398756663,0.7078364872303391
2025,15.845434098880466,28.8987175506796,24.26280268922801,9769.00867977835,13423.52790778919,0.7277527001012711
