year,cronica,discapacidad
2004,17.607743214005236,
2005,20.000717832173525,
2006,22.51133414151939,
2007,23.110616264938557,
2008,24.24572177954961,
2009,25.321478018056993,
2010,31.665668776302187,
2011,36.11722931336695,
2012,36.59004851454276,
2013,35.32350667288978,
2014,35.67030015185106,4.510997674552442
2015,34.776571893276255,3.751593682730519
2016,36.11112425460634,4.0247812923121735
2017,36.925297365296544,4.341717361167701
2018,38.23460667411725,4.5618824266243525
2019,39.3601250507983,4.79012105788446
2020,37.61650513306352,4.437510513867031
2021,39.56152486895867,4.783576839619035
2022,41.85771569202543,4.757125614345983
2023,43.06446148011428,5.214363021879738
2024,43.40817437550841,5.483385459948021
2025,43.53520763188294,5.727676677808651
