year,any,sis,essalud
2004,36.851821764999485,15.007264663479292,18.558833236560226
2005,35.35669039914342,13.93983840875137,17.78306021376084
2006,38.07490484245812,15.439758573189291,19.405953525655804
2007,41.91309025544237,17.019266222426626,20.920623617939153
2008,53.46113343040607,28.183170168832778,21.494328832648428
2009,60.252877561949894,33.86349775999892,22.67123239313976
2010,63.20591959161238,36.45051620500645,23.04214772247099
2011,64.22613460483382,36.180310546588714,24.222379700296532
2012,61.750372125088504,31.4855020397712,26.341857230441462
2013,65.34163352817973,35.39573884080189,26.342922231765364
2014,68.89619550645092,39.07350353898944,26.364793063159986
2015,72.79042049054927,43.4685122683917,26.30717762060282
2016,75.59609958753333,46.38428336660441,25.904863692301443
2017,76.34885114557517,46.92831410183531,26.29586273765391
2018,76.41985338665852,47.23592940336715,26.1732071283459
2019,77.60528587356808,47.84090997851823,26.744920547947622
2020,77.11719829296179,51.4635817365208,23.478137873875045
2021,81.21446268579443,56.48935757432483,22.783546166653913
2022,85.86823024573573,60.82892730995544,22.743584336512995
2023,88.27692377087698,61.71272920455072,24.186136702264385
2024,90.67587083372831,64.17239235952906,24.180492046052944
2025,92.98521582245519,66.03828064852742,24.704528961391006
