year,horas_media,subempleo_visible,jornada_excesiva,corta_<35
2004,44.8519548811908,8.726526455300181,39.7965366867877,30.76448867934677
2005,44.97218097507133,9.091885922312953,40.74728764983127,30.82396708851859
2006,44.4704853776847,9.742238167697424,38.75903545955731,31.283280793513935
2007,44.69070710499609,10.60204859870777,39.6957511905627,31.054909963663896
2008,44.586456227503646,9.415574752873821,39.96631895981502,31.466770769544816
2009,43.94355454920986,9.515328926517677,38.716320046270965,32.1123567497589
2010,43.54644999303153,8.976491207640155,38.49878163281627,32.86407427591099
2011,43.42641754834254,7.80406115316911,37.746219761227266,32.55138146992863
2012,43.36512413487626,5.368091126537201,37.07813222463753,31.934230380113988
2013,43.094153453593506,4.668319841239425,35.90095500952209,31.768257575423487
2014,42.935101953964,3.9513310329501645,35.10146203215311,31.506611271956515
2015,43.22948949203559,3.6096215412632575,34.81351745532363,30.2845050347565
2016,42.77673195095041,3.5145864779041274,33.95234085485668,31.33400527309524
2017,42.79515401860906,3.2211019651344555,34.054901705640674,31.294101713085233
2018,43.27849394932335,2.9958624491430315,34.81402638109323,30.910781345765127
2019,43.13430984784033,4.934855979374466,34.44212534947469,30.594166931888545
2020,39.64454781452709,4.174157984987696,27.647279358431433,38.119376745108354
2021,42.4120055609101,3.438999851924303,33.120852818131326,31.94684948105222
2022,43.21174973950583,3.7573490041722826,34.39860292162386,30.666337853267944
2023,42.96573000768975,4.802893756469211,33.90207225965046,31.0582620449899
2024,43.527108697050316,4.648654649351807,33.87459485603671,29.502327499845887
2025,43.512271878840366,3.9124823534761903,33.31042185067901,28.626772637545354
