year,emp_all,emp_poor,emp_nonpoor,only_study,study_work,only_work,neither,workers_study,n_ado
2004,39.41915462829965,44.7624272247534,29.59392724517333,41.0188241438492,15.852414969508397,23.566739658791253,19.56202122785115,40.215004910652475,8141
2005,37.09844862292315,44.253872162359656,25.21533497647883,41.52291138360515,15.276711847454488,21.821736775468665,21.378639993471698,41.17884282097715,7960
2006,37.26008573587403,44.74320315147756,28.211395685338985,45.32429041060115,16.2502280654022,21.009857670471828,17.415623853524817,43.612964770385574,8261
2007,36.54585700550664,45.8679340297649,27.97948347480026,45.90953836408832,15.906009874671835,20.63984713083481,17.54460463040504,43.52342831165556,8428
2008,39.05969787575578,49.48142013270054,31.595945429246676,43.8959827865556,17.812720713139324,21.246977162616457,17.04431933768862,45.60383638859536,8274
2009,38.50376928499644,49.71811931187399,31.593143864956357,45.52855876672926,18.31940658685687,20.184362698139566,15.967671948274303,47.57821617738423,8448
2010,36.595808171067375,47.58223670607497,30.603855833733437,46.76542390731795,18.002939948607622,18.592868222459753,16.638767921614672,49.193994745116015,8332
2011,35.46070926876992,45.51260801762636,30.594104757219647,47.687527217641325,16.892543577051256,18.568165691718658,16.85176351358876,47.63735392040915,9134
2012,34.76193165107531,45.971019410004374,30.04645142581285,47.33719471897708,16.88923987546982,17.872691775605492,17.900873629947608,48.58544699125595,8871
2013,34.778211008342396,45.9025783726378,30.31754865059887,47.2893620915175,18.42618161748109,16.3520293908613,17.9324269001401,52.98197084680729,10233
2014,31.4603779528992,41.6894620124564,27.668737669882972,49.70739661823183,15.935534343602935,15.524843609296264,18.832225428868966,50.652711062342505,9731
2015,28.925414959172183,40.81880019679653,24.386030817648823,51.26180277767653,15.454469811776287,13.470945147395897,19.812782263151284,53.42868834756581,9373
2016,26.873915489863172,36.09633948670893,23.521613971935317,54.76537316171979,14.088198169345826,12.785717320517348,18.360711348417034,52.42331797411467,10067
2017,27.093234125103532,36.38829544732238,23.67514192785012,53.92505827613469,13.677281773675197,13.415952351428333,18.981707598761773,50.4822780127322,9444
2018,27.86091933128396,35.04551274003359,25.365121431993625,51.046777193700784,13.86357129145598,13.997348039827978,21.092303475015257,49.75992043410106,10130
2019,26.307436188236785,33.05789004552599,23.917617027106004,54.2879098248467,13.358299384452884,12.949136803783901,19.40465398691651,50.7776557505287,9422
2020,24.85387635822392,27.873009830392146,23.111052112387625,49.03008289560199,12.213052837028503,12.640823521195417,26.116040746174082,49.13942863881398,9990
2021,29.664240526364203,33.982450121917026,27.69045616777128,49.74198121486446,15.818716663271404,13.845523863092797,20.59377825877134,53.325877833320774,9124
2022,25.37923395766764,28.011181155597757,24.160141379442315,53.674060506234774,12.343932057691687,13.035301899975954,20.94670553609759,48.637922162194755,9243
2023,23.48179218761121,24.25081467141241,23.069691797338983,54.60726560906354,12.766300535211997,10.715491652399212,21.91094220332525,54.366806558944795,8861
2024,22.018077983356378,22.795304461966275,21.643346653833227,57.63673406204376,12.085741760441621,9.932336222914756,20.345187954599865,54.890085181718945,8615
2025,20.597125925421075,20.741098411733166,20.526480389874912,59.037021954661164,12.034094440499238,8.563031484921837,20.36585211991776,58.42608567852032,8490
