year,fmt,n_hh,Juntos,Pension 65
2013,ancho,30453,8.791924821444837,3.814057512871745
2014,ancho,30848,9.551922174647155,5.505680112910573
2015,ancho,32188,11.224694046143407,6.694791258165177
2016,ancho,35785,10.983175093259371,6.98576129199778
2017,ancho,34584,10.999550181603954,7.180713788804248
2018,ancho,37462,10.491818465311207,7.38030353620438
2019,ancho,34565,10.125691330608399,7.266749838277227
2020,ancho,34490,11.242702667470756,6.145436952491791
2021,largo,34245,9.366487966736168,6.188941720491633
2022,largo,34213,8.838935327544863,6.783183999469129
2023,largo,33886,9.936428957730516,7.255648548387689
2024,largo,33691,9.004300329463582,8.670015769047602
2025,ancho,33702,10.736253489061115,9.539882983965681
