year,pct_0a14,pct_60mas,edad_mediana,razon_dependencia
2004,29.60126570513637,9.27717814700411,24.0,60.732805499497815
2005,29.114932140271677,9.990551492680467,24.0,61.824601289334026
2006,28.24184441691783,9.952377953489371,25.0,60.502069506523426
2007,30.252926646905937,10.440138822743963,25.0,60.612217432546515
2008,28.422836781099374,10.484624452448575,26.0,58.14547470249338
2009,27.570515849900612,10.723076907288261,26.0,57.67676805891289
2010,26.79151420591567,11.239428104422265,27.0,57.31502358930215
2011,26.399773448436008,12.38537869209897,27.0,56.957285514292806
2012,25.561063731460564,12.904305989325938,28.0,55.317754538345476
2013,25.16629862093292,13.297701568937367,29.0,55.21691559784492
2014,24.673833811257083,13.622358987972794,29.0,55.062975333603816
2015,25.21784251887704,13.291667064530676,29.0,57.03260383945549
2016,25.305002696342243,13.421938709254563,29.0,56.34923168602834
2017,25.07478871805329,13.960211170222728,30.0,56.80919041668681
2018,24.77884196958077,14.826675443443838,31.0,57.37537967386594
2019,24.487519677643036,15.381983269890439,31.0,57.186767384132956
2020,24.535142590065483,14.410582878462513,31.0,55.64538543080878
2021,24.31268004564611,14.966605155732868,31.0,55.94993520399022
2022,24.213508628319847,15.21755970515089,31.0,56.04392321036688
2023,23.317421578771956,15.576648347691046,32.0,54.91219168376194
2024,22.443698566345137,16.475095878339125,33.0,54.430496805032476
2025,21.219322986974927,17.671464753392165,34.0,54.62871603525214
