item,institution,pct_trust,n
p1_16,Iglesia catolica,44.2,29784
p1_03,RENIEC,41.3,28881
p1_10,Ministerio de Educacion,32.3,28821
p1_07,Fuerzas Armadas,24.5,28065
p1_11,Defensoria del Pueblo,16.3,25914
p1_20,SUNAT,15.7,24223
p1_15,Radio/Television,15.5,29089
p1_02,ONPE,13.7,26677
p1_05,Municipalidad distrital,13.4,29040
p1_06,Policia Nacional,13.2,29384
p1_04,Municipalidad provincial,13.1,28298
p1_01,Jurado Nacional de Elecciones,11.2,26181
p1_09,Poder Judicial,10.9,27700
p1_18,Ministerio Publico/Fiscalia,10.0,24924
p1_14,Prensa escrita,10.0,27997
p1_08,Gobierno regional,9.6,27279
p1_19,Contraloria,9.5,23520
p1_17,Procuraduria anticorrupcion,8.7,24049
p1_21,Comision anticorrupcion,8.2,22971
p1_12,Congreso,3.5,28732
p1_13,Partidos politicos,2.8,28712
