dpto,department,trust_pct,n_resp,keiko,juntos,keiko_pct,juntos_pct,winner
1,AMAZONAS,22.82354250354116,1188,69159.0,125440.0,35.53923709782681,64.46076290217319,Juntos x Peru (izq)
2,ANCASH,14.11394136411292,1341,267472.0,348824.0,43.399924711502265,56.600075288497735,Juntos x Peru (izq)
3,APURIMAC,17.310233339305338,908,43132.0,185825.0,18.83847185279332,81.16152814720668,Juntos x Peru (izq)
4,AREQUIPA,15.72360793197644,1367,332286.0,580426.0,36.40644584491055,63.59355415508945,Juntos x Peru (izq)
5,AYACUCHO,15.577495095411823,1155,66849.0,256362.0,20.682773791733574,79.31722620826642,Juntos x Peru (izq)
6,CAJAMARCA,18.52509923543666,1458,244749.0,491700.0,33.23366587503004,66.76633412496996,Juntos x Peru (izq)
7,CALLAO,15.86813028174883,749,164717.0,588619.0,21.86501109730585,78.13498890269415,Juntos x Peru (izq)
8,CUSCO,16.5555642889564,1195,36707.0,160659.0,18.598441474215416,81.40155852578458,Juntos x Peru (izq)
9,HUANCAVELICA,15.241036235094668,986,139754.0,249970.0,35.85973663413082,64.14026336586917,Juntos x Peru (izq)
10,HUANUCO,13.536254363295145,1183,280566.0,259849.0,51.91676766929119,48.08323233070881,Keiko (der)
11,ICA,15.471755396466067,1428,321850.0,392405.0,45.060937620317674,54.939062379682326,Juntos x Peru (izq)
12,JUNIN,15.942238054838647,1490,600510.0,443238.0,57.53400246036399,42.46599753963601,Keiko (der)
13,LA LIBERTAD,15.335177486648375,1332,435721.0,304695.0,58.848134021955225,41.151865978044775,Keiko (der)
14,LAMBAYEQUE,20.955573344324804,1283,3949954.0,2269736.0,63.50724875355524,36.49275124644476,Keiko (der)
15,LIMA,14.805229214993302,3197,211382.0,187754.0,52.959893369678504,47.040106630321496,Keiko (der)
16,LORETO,20.844607354857065,1326,29115.0,65432.0,30.794208171597194,69.20579182840281,Juntos x Peru (izq)
17,MADRE DE DIOS,10.812638424254803,568,33353.0,88235.0,27.43116096983255,72.56883903016745,Juntos x Peru (izq)
18,MOQUEGUA,16.28339900175395,877,50606.0,78478.0,39.20392922438102,60.79607077561898,Juntos x Peru (izq)
19,PASCO,11.235383251464206,849,583221.0,440425.0,56.974872172606545,43.025127827393455,Keiko (der)
20,PIURA,22.646146230997942,1525,95674.0,608930.0,13.578407162037117,86.42159283796289,Juntos x Peru (izq)
21,PUNO,10.265547594217914,768,218127.0,262583.0,45.37600632397911,54.62399367602089,Juntos x Peru (izq)
22,SAN MARTIN,22.268805457232123,1315,65417.0,163032.0,28.63527526931613,71.36472473068388,Juntos x Peru (izq)
23,TACNA,14.846137137147842,997,81960.0,45427.0,64.33937528947224,35.660624710527756,Keiko (der)
24,TUMBES,19.704615022063056,826,397144.0,208513.0,65.57242795839889,34.42757204160111,Keiko (der)
25,UCAYALI,19.94799223821235,1083,139870.0,126251.0,52.55879844131053,47.44120155868947,Keiko (der)
