year,p110,p1121,p1142
2004,62.46538735645867,75.6938963712946,16.448324513165154
2005,62.595353753250784,77.17272347492566,20.67672534618364
2006,64.33588053984668,80.15629330027619,29.763769064109912
2007,63.27718799991581,81.98694843029179,45.036502199791855
2008,63.4536438906297,84.6760492324201,59.72834293875693
2009,65.76895631545777,86.42371767131691,67.01041989051116
2010,67.9410769327008,88.12021347051056,73.05456773325092
2011,68.600167792797,89.70753191760693,75.24801696010212
2012,74.96719826671576,91.10133635658075,79.74118126744668
2013,76.26068398030752,92.13471293517165,82.04265656198706
2014,79.31462749452972,92.91934765356807,84.92486054270294
2015,79.53864698799298,93.8520728084676,87.22188182084435
2016,82.03684851914615,94.16202260159677,88.94594675891932
2017,81.17881546738671,94.82297684648873,90.15484888176287
2018,83.4520226419871,95.1777403506754,90.90064761765929
2019,83.6193699345225,95.55136022318202,92.0631849689645
2020,83.17372188519315,96.18682376489745,94.95474806961307
2021,83.0114422252304,95.58457718475438,94.05696339673261
2022,82.38173812801294,95.80843455386041,94.45374219219434
2023,82.45859722906734,95.7588047621013,94.89201904027313
2024,82.51726416609456,96.1496100173517,95.10464424052239
2025,82.75195456739128,96.22328644242636,95.2755137382567
