departamento,keiko_share_2026,keiko_share_2021,participacion,electores
AMAZONAS,33.8,31.8,63.3,306186.0
APURÍMAC,18.8,18.4,72.0,316000.0
AREQUIPA,36.8,35.2,79.7,1145268.0
AYACUCHO,20.5,17.4,71.9,473282.0
CAJAMARCA,32.3,28.2,69.3,1103247.0
CALLAO,65.9,67.4,79.5,824496.0
CUSCO,21.9,16.7,75.9,1025280.0
HUANCAVELICA,18.7,15.7,69.0,299843.0
HUÁNUCO,35.0,31.6,69.1,586411.0
ICA,52.2,52.5,79.9,651364.0
JUNÍN,45.1,41.9,74.4,982556.0
LA LIBERTAD,57.0,59.5,74.4,1429469.0
LAMBAYEQUE,58.6,58.0,76.3,977656.0
LIMA,63.6,64.7,79.7,8322644.0
LORETO,52.9,51.4,61.9,699964.0
MADRE DE DIOS,31.3,28.8,73.7,116513.0
MOQUEGUA,28.5,26.8,78.4,148367.0
PASCO,38.6,35.1,67.2,200682.0
PIURA,55.6,58.7,75.3,1396448.0
PUNO,13.7,10.7,82.1,922016.0
SAN MARTÍN,45.2,43.5,73.1,636330.0
TACNA,29.3,27.6,79.3,282974.0
TUMBES,64.5,66.0,78.3,167771.0
UCAYALI,52.4,51.5,69.2,389889.0
ÁNCASH,42.7,41.1,73.3,886265.0
