ubigeo_onpe,departamento,provincia,distrito,keiko_share_2021,keiko_share_2026,participacion,electores
010202,AMAZONAS,BAGUA,ARAMANGO,34.87,35.09,64.9,8526.0
010205,AMAZONAS,BAGUA,BAGUA,40.3,41.36,74.25,18722.0
010203,AMAZONAS,BAGUA,COPALLIN,30.89,32.19,70.37,4212.0
010204,AMAZONAS,BAGUA,EL PARCO,26.6,26.12,74.98,1303.0
010206,AMAZONAS,BAGUA,IMAZA,8.86,8.26,49.4,21905.0
010201,AMAZONAS,BAGUA,LA PECA,37.98,38.43,64.16,7442.0
010304,AMAZONAS,BONGARÁ,CHISQUILLA,37.59,41.2,75.18,407.0
010305,AMAZONAS,BONGARÁ,CHURUJA,53.56,58.3,70.42,355.0
010302,AMAZONAS,BONGARÁ,COROSHA,20.83,27.51,74.07,675.0
010303,AMAZONAS,BONGARÁ,CUISPES,23.5,32.72,70.1,622.0
010306,AMAZONAS,BONGARÁ,FLORIDA,37.9,42.25,71.97,4510.0
010312,AMAZONAS,BONGARÁ,JAZAN,46.59,50.43,68.53,5987.0
010301,AMAZONAS,BONGARÁ,JUMBILLA,31.72,36.6,69.29,863.0
010307,AMAZONAS,BONGARÁ,RECTA,22.7,28.7,66.32,288.0
010308,AMAZONAS,BONGARÁ,SAN CARLOS,33.55,40.76,74.43,442.0
010309,AMAZONAS,BONGARÁ,SHIPASBAMBA,30.81,37.58,67.85,1378.0
010310,AMAZONAS,BONGARÁ,VALERA,51.28,58.5,71.22,872.0
010311,AMAZONAS,BONGARÁ,YAMBRASBAMBA,34.25,40.32,67.75,4518.0
010102,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,20.39,32.56,55.44,285.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,41.31,40.85,64.92,1012.0
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,44.48,49.52,72.11,20819.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,30.26,40.19,72.74,587.0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,53.5,58.06,52.32,732.0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,52.23,50.15,45.63,1523.0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,32.25,31.18,69.09,427.0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,49.84,54.87,78.47,418.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,17.7,17.94,73.77,3919.0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,45.08,46.33,64.77,2580.0
