pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0150090121101,01500901211,0.47619047619047616,45.0,0.0,19.0,0.0,1.0,3233.285407389434,87.28569030761719,0.0,0.0,0.0,0.0
0150090251101,01500902511,0.047619047619047616,42.0,0.0,11.0,0.0,1.0,683.1606465759904,87.28569030761719,0.0,0.0,0.0,0.0
0150090491101,01500904911,0.2857142857142857,44.0,1.0,14.0,0.0,1.0,1623.5006128989974,87.28569030761719,0.0,0.0,0.0,0.0
0150090611101,01500906111,0.09523809523809523,78.0,1.0,0.0,0.0,1.0,3360.9707614823856,87.28569030761719,0.0,0.0,0.0,0.0
0150091301101,01500913011,0.0,76.0,1.0,6.0,0.0,0.0,4726.717198960539,87.28569030761719,0.0,0.0,0.0,0.0
0150240261101,01502402611,0.14285714285714285,68.0,0.0,6.0,1.0,1.0,1122.1556729519937,288.22576904296875,0.0,0.0,0.0,1.0
0150240391101,01502403911,0.09523809523809523,56.0,1.0,6.0,1.0,1.0,684.8202903927684,288.22576904296875,0.0,0.0,1.0,1.0
0150290031101,01502900311,0.23809523809523808,66.0,1.0,0.0,1.0,1.0,1027.6034899016147,288.22576904296875,0.0,1.0,1.0,1.0
0150400091101,01504000911,0.0,78.0,1.0,0.0,0.0,0.0,4251.330985592515,159.20401000976562,0.0,0.0,0.0,0.0
0150400561101,01504005611,0.2857142857142857,74.0,1.0,0.0,0.0,1.0,3829.353604522637,159.20401000976562,0.0,0.0,0.0,0.0
0150400991101,01504009911,0.5238095238095238,26.0,1.0,14.0,1.0,1.0,701.7524154301155,159.20401000976562,0.0,0.0,0.0,1.0
0150401211101,01504012111,0.0,51.0,1.0,3.0,1.0,1.0,2386.7367226758574,159.20401000976562,0.0,0.0,0.0,1.0
0150520031101,01505200311,0.09523809523809523,69.0,1.0,6.0,1.0,1.0,2394.8978809345986,304.6443786621094,0.0,0.0,1.0,1.0
0150520241101,01505202411,0.09523809523809523,65.0,0.0,11.0,1.0,1.0,1484.7708276557307,304.6443786621094,0.0,0.0,0.0,1.0
0150520421101,01505204211,0.2857142857142857,58.0,0.0,6.0,1.0,1.0,587.1612801993213,304.6443786621094,0.0,1.0,0.0,1.0
0150800091101,01508000911,0.047619047619047616,51.0,0.0,3.0,1.0,1.0,947.3864702627258,88.37109375,0.0,0.0,0.0,1.0
0150800121101,01508001211,0.09523809523809523,81.0,1.0,0.0,1.0,1.0,1188.9421110085966,88.37109375,0.0,0.0,1.0,1.0
0150800641101,01508006411,0.23809523809523808,69.0,1.0,0.0,1.0,1.0,977.3832830429684,88.37109375,0.0,0.0,1.0,1.0
0150800661101,01508006611,0.3333333333333333,59.0,0.0,3.0,1.0,1.0,495.2350547021955,88.37109375,0.0,0.0,0.0,1.0
0150840721101,01508407211,0.047619047619047616,43.0,1.0,6.0,1.0,1.0,474.9805384896785,88.37109375,0.0,0.0,0.0,1.0
0150841671101,01508416711,0.0,31.0,0.0,6.0,1.0,1.0,589.0684782959394,88.37109375,0.0,0.0,0.0,1.0
0150841691101,01508416911,0.3333333333333333,43.0,0.0,6.0,1.0,1.0,600.6456591693361,88.37109375,1.0,1.0,0.0,1.0
0150841701101,01508417011,0.0,68.0,1.0,3.0,1.0,1.0,1487.954250469593,88.37109375,0.0,0.0,0.0,1.0
0150950241101,01509502411,0.09523809523809523,72.0,1.0,14.0,0.0,0.0,2440.853698189467,88.37109375,0.0,0.0,0.0,0.0
0150950491101,01509504911,0.23809523809523808,50.0,1.0,17.0,0.0,1.0,8091.008479880013,88.37109375,0.0,0.0,0.0,0.0
0150950981101,01509509811,0.0,73.0,1.0,0.0,1.0,0.0,343.7275896624095,88.37109375,1.0,0.0,1.0,1.0
0150951231101,01509512311,0.6190476190476191,34.0,1.0,14.0,1.0,1.0,192.39189960893512,88.37109375,1.0,0.0,0.0,1.0
0151030101101,01510301011,0.6666666666666666,39.0,0.0,3.0,1.0,1.0,354.03568446418444,88.37109375,0.0,0.0,0.0,1.0
0151030121101,01510301211,0.047619047619047616,47.0,0.0,6.0,1.0,1.0,485.5802606410412,88.37109375,0.0,1.0,0.0,1.0
0151030201101,01510302011,0.047619047619047616,61.0,0.0,6.0,1.0,1.0,429.4901808537062,88.37109375,0.0,1.0,0.0,1.0
0151070691101,01510706911,0.09523809523809523,75.0,1.0,0.0,1.0,1.0,1205.8604973802344,72.7147216796875,0.0,0.0,1.0,1.0
0151070711101,01510707111,0.23809523809523808,37.0,0.0,14.0,1.0,1.0,1799.2812591109684,72.7147216796875,0.0,0.0,0.0,1.0
0151071521101,01510715211,0.0,66.0,1.0,3.0,1.0,1.0,622.5486254076185,72.7147216796875,0.0,0.0,1.0,1.0
0151071531101,01510715311,0.14285714285714285,42.0,0.0,11.0,1.0,1.0,727.7481913019207,72.7147216796875,0.0,1.0,0.0,1.0
0151071541101,01510715411,0.19047619047619047,73.0,1.0,6.0,1.0,1.0,645.9589444369699,72.7147216796875,0.0,1.0,1.0,1.0
0151071551101,01510715511,0.0,48.0,1.0,13.0,1.0,1.0,1504.2206321236688,72.7147216796875,0.0,1.0,0.0,1.0
0151071561101,01510715611,0.09523809523809523,69.0,0.0,3.0,1.0,0.0,283.86390699046433,72.7147216796875,1.0,0.0,0.0,1.0
0151391821101,01513918211,0.0,42.0,0.0,14.0,0.0,1.0,1250.9453695635152,72.7147216796875,0.0,0.0,0.0,0.0
0151391831101,01513918311,0.09523809523809523,30.0,1.0,9.0,1.0,1.0,1013.6484792514287,72.7147216796875,0.0,0.0,0.0,1.0
0151391841101,01513918411,0.047619047619047616,67.0,1.0,6.0,1.0,0.0,1437.9800828950333,72.7147216796875,0.0,0.0,1.0,1.0
0151393861101,01513938611,0.0,40.0,0.0,6.0,1.0,1.0,547.8850343740979,72.7147216796875,0.0,1.0,0.0,1.0
0151490311101,01514903111,0.047619047619047616,56.0,1.0,3.0,1.0,1.0,875.345390173662,79.45623016357422,0.0,0.0,0.0,1.0
0151491101101,01514911011,0.047619047619047616,61.0,0.0,3.0,1.0,1.0,719.202140024229,79.45623016357422,0.0,0.0,0.0,1.0
0151491111101,01514911111,0.047619047619047616,43.0,0.0,3.0,1.0,1.0,244.86693331432403,79.45623016357422,1.0,1.0,0.0,1.0
0151491141101,01514911411,0.19047619047619047,53.0,0.0,11.0,1.0,1.0,922.3962127983086,79.45623016357422,0.0,0.0,0.0,1.0
0151491151101,01514911511,0.19047619047619047,49.0,1.0,3.0,1.0,1.0,909.3800914630817,79.45623016357422,0.0,1.0,0.0,1.0
0151600831101,01516008311,0.19047619047619047,38.0,0.0,11.0,0.0,1.0,193.5739395612342,72.7147216796875,1.0,1.0,0.0,1.0
